test_id,category,difficulty,target_level,input_title,context,expected_standard_title,expected_standard_id,expected_seniority,expected_domain
T_0056,开发,medium,L2,高级Go工程师,,软件工程师,software_engineer,高级/资深,后端
T_0057,开发,medium,L2,资深DevOps工程师,,软件工程师,software_engineer,高级/资深,DevOps
T_0058,开发,medium,L2,高级全栈工程师,,软件工程师,software_engineer,高级/资深,
T_0059,测试,medium,L2,高级QA工程师,,测试工程师,test_engineer,高级/资深,
T_0060,算法,medium,L2,资深NLP工程师,,算法工程师,algorithm_engineer,高级/资深,NLP
T_0061,算法,medium,L2,高级推荐算法工程师,,算法工程师,algorithm_engineer,高级/资深,推荐
T_0062,法务,medium,L2,高级合规经理,,法务经理,legal_manager,高级/资深,合规
T_0063,供应链,medium,L2,高级采购经理,,供应链经理,supply_chain_manager,高级/资深,采购
T_0064,设计,medium,L2,资深UI设计师,,设计师,designer,高级/资深,UI
T_0065,设计,medium,L2,高级交互设计师,,设计师,designer,高级/资深,交互
T_0066,行政,medium,L2,高级行政专员,,行政经理,admin_manager,高级/资深,
T_0067,开发,medium,L2,高级系统架构师,,架构师,architect,高级/资深,系统
T_0068,管理,medium,L2,高级业务总监,,总经理,general_manager,高级/资深,
T_0069,产品,medium,L2,高级项目经理,,项目经理,project_manager,高级/资深,
T_0070,供应链,medium,L2,高级硬件工程师,做消费电子,机械工程师,mechanical_engineer,高级/资深,硬件
T_0071,运营,medium,L2,高级直播运营经理,,运营经理,operations_manager,高级/资深,直播
T_0072,销售,medium,L2,资深售前顾问,,销售经理,sales_manager,高级/资深,售前
T_0073,算法,medium,L2,首席大模型工程师,,算法工程师,algorithm_engineer,,大模型
T_0074,开发,medium,L2,初级前端工程师,应届生,软件工程师,software_engineer,初级/助理,前端
T_0075,财务,medium,L2,资深FP&A经理,,财务经理,finance_manager,高级/资深,FP&A
T_0076,人力资源,medium,L2,高级OD经理,,人力资源经理,hr_manager,高级/资深,OD
T_0077,开发,medium,L2,资深iOS工程师,做社交APP,软件工程师,software_engineer,高级/资深,移动端
T_0078,运营,medium,L2,高级电商运营,,运营经理,operations_manager,高级/资深,电商
T_0079,设计,medium,L2,资深视觉设计师,,设计师,designer,高级/资深,视觉
T_0080,测试,medium,L2,资深自动化测试工程师,,测试工程师,test_engineer,高级/资深,自动化
T_0081,产品,hard,L3,做用户研究和竞品分析的人,在产品部门，用Axure画原型,产品经理,product_manager,,
T_0082,产品,hard,L3,需求分析师,写PRD和需求文档，做产品方向,产品经理,product_manager,,
T_0083,运营,hard,L3,社群增长专家,负责私域社群拉新和用户增长，用AB测试优化转化,运营经理,operations_manager,专家,
T_0084,运营,hard,L3,抖音内容负责人,管理短视频团队做内容运营,运营经理,operations_manager,负责人,内容
T_0085,运营,hard,L3,小红书运营,做品牌种草和内容策划,运营经理,operations_manager,,
T_0086,市场,hard,L3,SEM投放专家,在市场部做搜索引擎投放和媒介优化,市场经理,marketing_manager,专家,
T_0087,市场,hard,L3,整合营销负责人,品牌策略、内容营销、公关传播全都管,市场经理,marketing_manager,负责人,营销
T_0088,人力资源,hard,L3,企业文化官,负责企业文化建设、员工关系和雇主品牌,人力资源经理,hr_manager,,
T_0089,人力资源,hard,L3,人才发展专家,做人才盘点和组织发展,人力资源经理,hr_manager,专家,
T_0090,投资,hard,L3,行研分析师,做尽职调查和估值分析，看科技赛道,投资经理,investment_manager,,
T_0091,销售,hard,L3,客户关系维护经理,做大客户维护，CRM管理,销售经理,sales_manager,,大客户
T_0092,销售,hard,L3,解决方案总监,做售前方案呈现和商务谈判,销售经理,sales_manager,总监,售前
T_0093,财务,hard,L3,预算管理经理,负责全公司预算和财务报表,财务经理,finance_manager,,FP&A
T_0094,数据分析,hard,L3,数据可视化专家,用Tableau和PowerBI做报表，SQL取数,数据分析师,data_analyst,专家,
T_0095,数据分析,hard,L3,AB测试分析师,做数据建模和统计分析,数据分析师,data_analyst,,
T_0096,开发,hard,L3,微服务开发负责人,用Spring Cloud + K8s做微服务，管Docker容器,软件工程师,software_engineer,负责人,
T_0097,开发,hard,L3,CI/CD工程师,做持续集成和自动化部署,软件工程师,software_engineer,,DevOps
T_0098,开发,hard,L3,分布式系统专家,做高可用和性能优化,架构师,architect,专家,
T_0099,测试,hard,L3,自动化框架开发,用Selenium和JMeter做测试，接口测试和持续集成,测试工程师,test_engineer,,测试开发
T_0100,算法,hard,L3,深度学习研究员,发顶会论文，做PyTorch和机器学习，CV方向,算法工程师,algorithm_engineer,,CV
T_0101,算法,hard,L3,搜索引擎算法,做搜索排序和推荐系统，特征工程,算法工程师,algorithm_engineer,,推荐
T_0102,法务,hard,L3,数据隐私顾问,做合规管理和数据隐私，了解GDPR,法务经理,legal_manager,,数据合规
T_0103,供应链,hard,L3,精益生产顾问,做工厂精益生产和质量管理，控制成本,供应链经理,supply_chain_manager,,生产
T_0104,设计,hard,L3,用研专家,做用户研究和交互设计，建设设计系统,设计师,designer,专家,UX
T_0105,行政,hard,L3,办公管理负责人,管行政和差旅管理，做会议组织,行政经理,admin_manager,负责人,
T_0106,管理,hard,L3,战略规划总监,做战略管理和业务规划,总经理,general_manager,总监,
T_0107,产品,hard,L3,敏捷教练,推Scrum和敏捷开发，用JIRA管项目,项目经理,project_manager,,
T_0108,供应链,hard,L3,CAE仿真专家,用SolidWorks做结构设计和公差分析,机械工程师,mechanical_engineer,专家,仿真
T_0109,开发,hard,L3,云原生架构专家,做云原生和中间件，技术选型,架构师,architect,专家,云
T_0110,算法,hard,L3,感知融合工程师,做自动驾驶的感知算法和SLAM,算法工程师,algorithm_engineer,,自动驾驶
T_0111,跨领域,hard,L3_ambiguous,数据产品经理,在数据部门做数据产品,数据分析师,data_analyst,,数据产品
T_0112,跨领域,hard,L3_ambiguous,渠道经理,做销售渠道管理,市场经理,marketing_manager,,渠道
T_0113,跨领域,hard,L3_ambiguous,前端架构师,做前端技术架构,架构师,architect,,前端
T_0114,跨领域,hard,L3_ambiguous,嵌入式工程师,做智能硬件的嵌入式开发,软件工程师,software_engineer,,嵌入式
T_0115,未知,hard,out_of_graph,增长黑客,用数据驱动做用户增长,运营经理,operations_manager,,增长
T_0116,未知,hard,out_of_graph,全栈产品设计师,又做UX又做UI还写点前端,设计师,designer,,
T_0117,未知,hard,out_of_graph,AI训练师,做大模型的RLHF标注和prompt工程,算法工程师,algorithm_engineer,,大模型
T_0118,未知,hard,out_of_graph,Prompt工程师,做大模型prompt优化,算法工程师,algorithm_engineer,,大模型
T_0119,未知,hard,out_of_graph,数字化转型负责人,推公司数字化转型，管IT和数据,总经理,general_manager,负责人,
T_0120,未知,hard,out_of_graph,出海运营负责人,做东南亚市场的本地化运营,运营经理,operations_manager,负责人,海外
T_0121,未知,hard,out_of_graph,GTM策略负责人,做go-to-market策略和市场推广,市场经理,marketing_manager,负责人,GTM
T_0122,未知,hard,out_of_graph,数据工程师,做ETL和数据管道,数据分析师,data_analyst,,
T_0123,未知,hard,out_of_graph,SaaS销售总监,做企业SaaS产品的销售,销售经理,sales_manager,总监,
T_0124,未知,hard,out_of_graph,私募基金经理,管理PE基金，做一级市场投资,投资经理,investment_manager,,
T_0125,未知,hard,out_of_graph,ESG合规官,做ESG合规和可持续发展报告,法务经理,legal_manager,,合规
T_0126,未知,hard,out_of_graph,供应链数字化负责人,做供应链ERP和库存管理系统,供应链经理,supply_chain_manager,负责人,
T_0127,未知,hard,out_of_graph,首席人才官,管全公司招聘和人才发展,人力资源经理,hr_manager,C-level,
T_0128,未知,hard,out_of_graph,智能硬件产品总监,做IoT智能穿戴产品,产品经理,product_manager,总监,硬件
T_0129,未知,hard,out_of_graph,MLOps工程师,做机器学习模型部署和运维,算法工程师,algorithm_engineer,,
T_0130,未知,hard,out_of_graph,RPA开发工程师,做流程自动化机器人,软件工程师,software_engineer,,
T_0131,未知,hard,out_of_graph,低代码平台产品经理,做低代码/无代码开发平台,产品经理,product_manager,,
T_0132,未知,hard,out_of_graph,Web3产品经理,做DeFi和NFT相关产品,产品经理,product_manager,,
T_0133,未知,hard,out_of_graph,财务BP,做业务财务分析，对接事业部,财务经理,finance_manager,,FP&A
T_0134,未知,hard,out_of_graph,区块链开发工程师,做智能合约和Solidity开发,软件工程师,software_engineer,,
T_0135,未知,hard,out_of_graph,机器人产品经理,做服务机器人的产品规划,产品经理,product_manager,,
T_0136,未知,hard,out_of_graph,智能座舱算法工程师,做车载语音和HMI交互,算法工程师,algorithm_engineer,,
T_0137,未知,hard,out_of_graph,全球化人事负责人,管海外团队的HR和薪酬福利,人力资源经理,hr_manager,负责人,
T_0138,未知,hard,out_of_graph,新零售运营总监,做线上线下融合的新零售,运营经理,operations_manager,总监,
T_0139,未知,hard,out_of_graph,元宇宙产品设计师,做VR/AR沉浸式体验设计,设计师,designer,,
T_0140,未知,hard,out_of_graph,技术合伙人,创业公司的技术合伙人，管研发,软件工程师,software_engineer,,
T_0141,产品,easy,L1,资深产品经理,我目前做C端产品,产品经理,product_manager,高级/资深,
T_0142,产品,easy,L1,资深PM,字节跳动做推荐产品的PM,产品经理,product_manager,高级/资深,
T_0143,产品,easy,L1,资深产品总监,管三条产品线,产品经理,product_manager,总监,
T_0144,产品,easy,L1,资深CPO,,产品经理,product_manager,C-level,
T_0145,产品,easy,L1,资深AI产品经理,做大模型应用方向,产品经理,product_manager,高级/资深,AI
T_0146,运营,easy,L1,资深用户运营,,运营经理,operations_manager,高级/资深,用户
T_0147,运营,easy,L1,运营总监,管整个运营部门,运营经理,operations_manager,总监,
T_0148,运营,easy,L1,资深增长经理,,运营经理,operations_manager,高级/资深,增长
T_0149,运营,easy,L1,资深COO,负责全公司运营,运营经理,operations_manager,C-level,
T_0150,市场,easy,L1,资深品牌经理,,市场经理,marketing_manager,高级/资深,品牌
T_0151,市场,easy,L1,资深CMO,,市场经理,marketing_manager,C-level,
T_0152,人力资源,easy,L1,资深HRBP,对接技术团队,人力资源经理,hr_manager,高级/资深,HRBP
T_0153,人力资源,easy,L1,资深招聘经理,,人力资源经理,hr_manager,高级/资深,招聘
T_0154,投资,easy,L1,资深投资总监,看AI赛道,投资经理,investment_manager,总监,
T_0155,投资,easy,L1,资深合伙人,基金的GP,投资经理,investment_manager,高级/资深,
T_0156,销售,easy,L1,资深BD经理,,销售经理,sales_manager,高级/资深,BD
T_0157,销售,easy,L1,资深KA经理,负责大客户,销售经理,sales_manager,高级/资深,大客户
T_0158,财务,easy,L1,资深CFO,,财务经理,finance_manager,C-level,
T_0159,数据分析,easy,L1,BI分析师,做Tableau报表,数据分析师,data_analyst,高级/资深,BI
T_0160,数据分析,hard,L3_ambiguous,资深CDO,首席数据官，管数据团队,设计师,designer,C-level,
T_0161,开发,easy,L1,前端工程师,3年React经验,软件工程师,software_engineer,高级/资深,前端
T_0162,开发,easy,L1,资深CTO,创业公司CTO,软件工程师,software_engineer,C-level,
T_0163,开发,easy,L1,资深Java工程师,,软件工程师,software_engineer,高级/资深,后端
T_0164,测试,easy,L1,资深QA工程师,,测试工程师,test_engineer,高级/资深,
T_0165,算法,easy,L1,NLP工程师,做大模型,算法工程师,algorithm_engineer,高级/资深,NLP
T_0166,算法,easy,L1,资深推荐算法工程师,,算法工程师,algorithm_engineer,高级/资深,推荐
T_0167,法务,easy,L1,资深法律顾问,,法务经理,legal_manager,高级/资深,
T_0168,供应链,easy,L1,资深采购经理,,供应链经理,supply_chain_manager,高级/资深,采购
T_0169,设计,easy,L1,UX设计师,,设计师,designer,高级/资深,UX
T_0170,行政,easy,L1,资深行政助理,,行政经理,admin_manager,高级/资深,
T_0171,产品,easy,L1,product manager,,产品经理,product_manager,高级/资深,
T_0172,开发,easy,L1,资深tech lead,带5人后端,软件工程师,software_engineer,高级/资深,
T_0173,开发,easy,L1,资深云架构师,,架构师,architect,高级/资深,云
T_0174,产品,easy,L1,项目经理,做技术项目,项目经理,project_manager,高级/资深,
T_0175,产品,easy,L1,资深TPM,Technical Program Manager,项目经理,project_manager,高级/资深,技术
T_0176,管理,easy,L1,资深CEO,,总经理,general_manager,C-level,
T_0177,管理,easy,L1,事业部总经理,,总经理,general_manager,高级,事业部
T_0178,供应链,easy,L1,资深结构工程师,,机械工程师,mechanical_engineer,高级/资深,结构
T_0179,算法,easy,L1,AIGC工程师,,算法工程师,algorithm_engineer,高级/资深,AIGC
T_0180,销售,easy,L1,资深客户成功经理,,销售经理,sales_manager,高级/资深,客户成功
T_0181,产品,medium,L2,资深高级产品策划,,产品经理,product_manager,高级/资深,
T_0182,产品,medium,L2,资深资深产品 owner,,产品经理,product_manager,高级/资深,
T_0183,运营,medium,L2,资深高级内容运营,,运营经理,operations_manager,高级/资深,内容
T_0184,运营,medium,L2,资深资深用户运营经理,,运营经理,operations_manager,高级/资深,用户
T_0185,运营,medium,L2,资深首席增长官,公司用户增长负责人,运营经理,operations_manager,高级/资深,增长
T_0186,市场,medium,L2,资深高级品牌策划,,市场经理,marketing_manager,高级/资深,品牌
T_0187,市场,medium,L2,资深资深营销经理,做数字营销,市场经理,marketing_manager,高级/资深,营销
T_0188,人力资源,medium,L2,资深高级招聘专员,,人力资源经理,hr_manager,高级/资深,招聘
T_0189,人力资源,medium,L2,资深资深HRBP,,人力资源经理,hr_manager,高级/资深,HRBP
T_0190,投资,medium,L2,资深高级投资分析师,看医疗赛道,投资经理,investment_manager,高级/资深,
T_0191,销售,medium,L2,资深高级BD专员,,销售经理,sales_manager,高级/资深,BD
T_0192,销售,medium,L2,资深资深客户经理,,销售经理,sales_manager,高级/资深,
T_0193,财务,medium,L2,资深高级审计经理,,财务经理,finance_manager,高级/资深,审计
T_0194,数据分析,medium,L2,高级数据分析师,,数据分析师,data_analyst,高级/资深,
T_0195,数据分析,medium,L2,资深资深商业分析师,做BI方向,数据分析师,data_analyst,高级/资深,商业分析
T_0196,开发,medium,L2,资深高级Go工程师,,软件工程师,software_engineer,高级/资深,后端
T_0197,开发,medium,L2,资深资深DevOps工程师,,软件工程师,software_engineer,高级/资深,DevOps
T_0198,开发,medium,L2,资深高级全栈工程师,,软件工程师,software_engineer,高级/资深,
T_0199,测试,medium,L2,资深高级QA工程师,,测试工程师,test_engineer,高级/资深,
T_0200,算法,medium,L2,资深资深NLP工程师,,算法工程师,algorithm_engineer,高级/资深,NLP
T_0201,算法,medium,L2,高级推荐算法工程师,,算法工程师,algorithm_engineer,高级/资深,推荐
T_0202,法务,medium,L2,资深高级合规经理,,法务经理,legal_manager,高级/资深,合规
T_0203,供应链,medium,L2,资深高级采购经理,,供应链经理,supply_chain_manager,高级/资深,采购
T_0204,设计,medium,L2,资深资深UI设计师,,设计师,designer,高级/资深,UI
T_0205,设计,medium,L2,高级交互设计师,,设计师,designer,高级/资深,交互
T_0206,行政,medium,L2,高级行政专员,,行政经理,admin_manager,高级/资深,
T_0207,开发,medium,L2,资深高级系统架构师,,架构师,architect,高级/资深,系统
T_0208,管理,medium,L2,资深高级业务总监,,总经理,general_manager,高级/资深,
T_0209,产品,medium,L2,资深高级项目经理,,项目经理,project_manager,高级/资深,
T_0210,供应链,medium,L2,资深高级硬件工程师,做消费电子,机械工程师,mechanical_engineer,高级/资深,硬件
T_0211,运营,medium,L2,资深高级直播运营经理,,运营经理,operations_manager,高级/资深,直播
T_0212,销售,medium,L2,资深售前顾问,,销售经理,sales_manager,高级/资深,售前
T_0213,算法,medium,L2,首席大模型工程师,,算法工程师,algorithm_engineer,高级/资深,大模型
T_0214,开发,medium,L2,资深初级前端工程师,应届生,软件工程师,software_engineer,初级/助理,前端
T_0215,财务,medium,L2,资深资深FP&A经理,,财务经理,finance_manager,高级/资深,FP&A
T_0216,人力资源,medium,L2,资深高级OD经理,,人力资源经理,hr_manager,高级/资深,OD
T_0217,开发,medium,L2,资深iOS工程师,做社交APP,软件工程师,software_engineer,高级/资深,移动端
T_0218,运营,medium,L2,资深高级电商运营,,运营经理,operations_manager,高级/资深,电商
T_0219,设计,medium,L2,资深资深视觉设计师,,设计师,designer,高级/资深,视觉
T_0220,测试,medium,L2,资深资深自动化测试工程师,,测试工程师,test_engineer,高级/资深,自动化
T_0221,产品,hard,L3,资深做用户研究和竞品分析的人,在产品部门，用Axure画原型,产品经理,product_manager,高级/资深,
T_0222,产品,hard,L3,资深需求分析师,写PRD和需求文档，做产品方向,产品经理,product_manager,高级/资深,
T_0223,运营,hard,L3,资深社群增长专家,负责私域社群拉新和用户增长，用AB测试优化转化,运营经理,operations_manager,专家,
T_0224,运营,hard,L3,抖音内容负责人,管理短视频团队做内容运营,运营经理,operations_manager,负责人,内容
T_0225,运营,hard,L3,资深小红书运营,做品牌种草和内容策划,运营经理,operations_manager,高级/资深,
T_0226,市场,hard,L3,资深SEM投放专家,在市场部做搜索引擎投放和媒介优化,市场经理,marketing_manager,专家,
T_0227,市场,hard,L3,整合营销负责人,品牌策略、内容营销、公关传播全都管,市场经理,marketing_manager,负责人,营销
T_0228,人力资源,hard,L3,资深企业文化官,负责企业文化建设、员工关系和雇主品牌,人力资源经理,hr_manager,高级/资深,
T_0229,人力资源,hard,L3,资深人才发展专家,做人才盘点和组织发展,人力资源经理,hr_manager,专家,
T_0230,投资,hard,L3,资深行研分析师,做尽职调查和估值分析，看科技赛道,投资经理,investment_manager,高级/资深,
T_0231,销售,hard,L3,资深客户关系维护经理,做大客户维护，CRM管理,销售经理,sales_manager,高级/资深,大客户
T_0232,销售,hard,L3,资深解决方案总监,做售前方案呈现和商务谈判,销售经理,sales_manager,总监,售前
T_0233,财务,hard,L3,预算管理经理,负责全公司预算和财务报表,财务经理,finance_manager,高级/资深,FP&A
T_0234,数据分析,hard,L3,资深数据可视化专家,用Tableau和PowerBI做报表，SQL取数,数据分析师,data_analyst,专家,
T_0235,数据分析,hard,L3,资深AB测试分析师,做数据建模和统计分析,数据分析师,data_analyst,高级/资深,
T_0236,开发,hard,L3,资深微服务开发负责人,用Spring Cloud + K8s做微服务，管Docker容器,软件工程师,software_engineer,负责人,
T_0237,开发,hard,L3,CI/CD工程师,做持续集成和自动化部署,软件工程师,software_engineer,高级/资深,DevOps
T_0238,开发,hard,L3,资深分布式系统专家,做高可用和性能优化,架构师,architect,专家,
T_0239,测试,hard,L3,自动化框架开发,用Selenium和JMeter做测试，接口测试和持续集成,测试工程师,test_engineer,高级/资深,测试开发
T_0240,算法,hard,L3,深度学习研究员,发顶会论文，做PyTorch和机器学习，CV方向,算法工程师,algorithm_engineer,高级/资深,CV
T_0241,算法,hard,L3,资深搜索引擎算法,做搜索排序和推荐系统，特征工程,算法工程师,algorithm_engineer,高级/资深,推荐
T_0242,法务,hard,L3,资深数据隐私顾问,做合规管理和数据隐私，了解GDPR,法务经理,legal_manager,高级/资深,数据合规
T_0243,供应链,hard,L3,资深精益生产顾问,做工厂精益生产和质量管理，控制成本,供应链经理,supply_chain_manager,高级/资深,生产
T_0244,设计,hard,L3,资深用研专家,做用户研究和交互设计，建设设计系统,设计师,designer,专家,UX
T_0245,行政,hard,L3,资深办公管理负责人,管行政和差旅管理，做会议组织,行政经理,admin_manager,负责人,
T_0246,管理,hard,L3,资深战略规划总监,做战略管理和业务规划,总经理,general_manager,总监,
T_0247,产品,hard,L3,资深敏捷教练,推Scrum和敏捷开发，用JIRA管项目,项目经理,project_manager,高级/资深,
T_0248,供应链,hard,L3,资深CAE仿真专家,用SolidWorks做结构设计和公差分析,机械工程师,mechanical_engineer,专家,仿真
T_0249,开发,hard,L3,资深云原生架构专家,做云原生和中间件，技术选型,架构师,architect,专家,云
T_0250,算法,hard,L3,感知融合工程师,做自动驾驶的感知算法和SLAM,算法工程师,algorithm_engineer,高级/资深,自动驾驶
T_0251,跨领域,hard,L3_ambiguous,数据产品经理,在数据部门做数据产品,数据分析师,data_analyst,高级/资深,数据产品
T_0252,跨领域,hard,L3_ambiguous,资深渠道经理,做销售渠道管理,市场经理,marketing_manager,高级/资深,渠道
T_0253,跨领域,hard,L3_ambiguous,资深前端架构师,做前端技术架构,架构师,architect,高级/资深,前端
T_0254,跨领域,hard,L3_ambiguous,资深嵌入式工程师,做智能硬件的嵌入式开发,软件工程师,software_engineer,高级/资深,嵌入式
T_0255,未知,hard,out_of_graph,增长黑客,用数据驱动做用户增长,运营经理,operations_manager,高级/资深,增长
T_0256,未知,hard,out_of_graph,全栈产品设计师,又做UX又做UI还写点前端,设计师,designer,高级/资深,
T_0257,未知,hard,out_of_graph,资深AI训练师,做大模型的RLHF标注和prompt工程,算法工程师,algorithm_engineer,高级/资深,大模型
T_0258,未知,hard,out_of_graph,资深Prompt工程师,做大模型prompt优化,算法工程师,algorithm_engineer,高级/资深,大模型
T_0259,未知,hard,out_of_graph,资深数字化转型负责人,推公司数字化转型，管IT和数据,总经理,general_manager,负责人,
T_0260,未知,hard,out_of_graph,资深出海运营负责人,做东南亚市场的本地化运营,运营经理,operations_manager,负责人,海外
T_0261,未知,hard,out_of_graph,GTM策略负责人,做go-to-market策略和市场推广,市场经理,marketing_manager,负责人,GTM
T_0262,未知,hard,out_of_graph,资深数据工程师,做ETL和数据管道,数据分析师,data_analyst,高级/资深,
T_0263,未知,hard,out_of_graph,SaaS销售总监,做企业SaaS产品的销售,销售经理,sales_manager,总监,
T_0264,未知,hard,out_of_graph,资深私募基金经理,管理PE基金，做一级市场投资,投资经理,investment_manager,高级/资深,
T_0265,未知,hard,out_of_graph,资深ESG合规官,做ESG合规和可持续发展报告,法务经理,legal_manager,高级/资深,合规
T_0266,未知,hard,out_of_graph,资深供应链数字化负责人,做供应链ERP和库存管理系统,供应链经理,supply_chain_manager,负责人,
T_0267,未知,hard,out_of_graph,资深首席人才官,管全公司招聘和人才发展,人力资源经理,hr_manager,C-level,
T_0268,未知,hard,out_of_graph,智能硬件产品总监,做IoT智能穿戴产品,产品经理,product_manager,总监,硬件
T_0269,未知,hard,out_of_graph,MLOps工程师,做机器学习模型部署和运维,算法工程师,algorithm_engineer,高级/资深,
T_0270,未知,hard,out_of_graph,RPA开发工程师,做流程自动化机器人,软件工程师,software_engineer,高级/资深,
T_0271,未知,hard,out_of_graph,资深低代码平台产品经理,做低代码/无代码开发平台,产品经理,product_manager,高级/资深,
T_0272,未知,hard,out_of_graph,资深Web3产品经理,做DeFi和NFT相关产品,产品经理,product_manager,高级/资深,
T_0273,未知,hard,out_of_graph,财务BP,做业务财务分析，对接事业部,财务经理,finance_manager,高级/资深,FP&A
T_0274,未知,hard,out_of_graph,区块链开发工程师,做智能合约和Solidity开发,软件工程师,software_engineer,高级/资深,
T_0275,未知,hard,out_of_graph,资深机器人产品经理,做服务机器人的产品规划,产品经理,product_manager,高级/资深,
T_0276,未知,hard,out_of_graph,资深智能座舱算法工程师,做车载语音和HMI交互,算法工程师,algorithm_engineer,高级/资深,
T_0277,未知,hard,out_of_graph,资深全球化人事负责人,管海外团队的HR和薪酬福利,人力资源经理,hr_manager,负责人,
T_0278,未知,hard,out_of_graph,新零售运营总监,做线上线下融合的新零售,运营经理,operations_manager,总监,
T_0279,未知,hard,out_of_graph,元宇宙产品设计师,做VR/AR沉浸式体验设计,设计师,designer,高级/资深,
T_0280,未知,hard,out_of_graph,资深技术合伙人,创业公司的技术合伙人，管研发,软件工程师,software_engineer,高级/资深,
