pair_id,anchor,positive,positive_id,hard_negative,hard_negative_id,random_negative,random_negative_id,category,generation_type
P000027,性能测试工程师，之前做过开发,测试工程师,test_engineer,Software Engineer,software_engineer,中台负责人,general_manager,测试,T7_context
P000028,Senior 运营负责人,运营经理,operations_manager,数据分析负责人,data_analyst,QA总监,test_engineer,运营,T2_seniority
P000029,Junior 财务负责人总监,财务经理,finance_manager,法务总监,legal_manager,市场总监,marketing_manager,财务,T2_seniority
P000030,Senior 机械负责人助理,机械工程师,mechanical_engineer,Supply Chain Manager,supply_chain_manager,行政VP,admin_manager,供应链,T2_seniority
P000031,供应经链理,供应链经理,supply_chain_manager,结构设计工程师,mechanical_engineer,合规经理,legal_manager,供应链,T6_typo
P000032,策略产品经理，汇报给 CEO,产品经理,product_manager,PMO负责人,project_manager,公关经理,marketing_manager,产品,T7_context
P000033,首席投资经理,投资经理,investment_manager,会计主管,finance_manager,固件工程师,software_engineer,投资,T2_seniority
P000034,我们公司做硬件工程师,机械工程师,mechanical_engineer,Supply Chain Manager,supply_chain_manager,海外业务负责人,general_manager,供应链,T4_colloquial
P000035,并购经理方向,投资经理,investment_manager,财务经理,finance_manager,招聘经理,hr_manager,投资,T4_colloquial
P000036,副供应链主管助理,供应链经理,supply_chain_manager,硬件技术总监,mechanical_engineer,CIO,general_manager,供应链,T2_seniority
P000037,类似商务经理这种的,销售经理,sales_manager,高级市场经理,marketing_manager,硬件设计工程师,mechanical_engineer,销售,T4_colloquial
P000038,产品运营经理，负责 AI 产品方向,运营经理,operations_manager,数据VP,data_analyst,联合创始人,general_manager,运营,T7_context
P000039,搞高级机械工程师的,机械工程师,mechanical_engineer,生产经理,supply_chain_manager,投资经理,investment_manager,供应链,T4_colloquial
P000040,SLAM工程师，刚毕业 3 年,算法工程师,algorithm_engineer,前端 leader,software_engineer,会计经理,finance_manager,算法,T7_context
P000041,首席财官务,财务经理,finance_manager,法务主管,legal_manager,团队负责人,general_manager,财务,T6_typo
P000042,Principal 行政经理,行政经理,admin_manager,人力经理,hr_manager,活动策划,operations_manager,行政,T2_seniority
P000043,总经理这块,总经理,general_manager,投资专员,investment_manager,算法 leader,algorithm_engineer,管理,T4_colloquial
P000044,海外营销经理，之前做过开发,市场经理,marketing_manager,售前顾问,sales_manager,行政经理,admin_manager,市场,T7_context
P000045,类似AI产品负责人这种的,产品经理,product_manager,项目助理,project_manager,用户增长,operations_manager,产品,T4_colloquial
P000046,中级Sales Manager,销售经理,sales_manager,品牌策划,marketing_manager,内容运营,operations_manager,销售,T2_seniority
P000047,设计 leader,设计师,designer,硬件工程师,mechanical_engineer,感知算法工程师,algorithm_engineer,设计,T1_raw
P000048,Lead 市场专员,市场经理,marketing_manager,销售专员,sales_manager,设计主管,designer,市场,T2_seniority
P000049,Principal 投资主管,投资经理,investment_manager,会计经理,finance_manager,市场主管,marketing_manager,投资,T2_seniority
P000050,资深数据分析师岗位,数据分析师,data_analyst,内容运营经理,operations_manager,营销经理,marketing_manager,数据分析,T4_colloquial
P000051,技术VP，IC 路线,软件工程师,software_engineer,Solution Architect,architect,三维设计师,designer,开发,T7_context
P000052,商业化市场负责人,市场经理,marketing_manager,Key Account Manager,sales_manager,高级行政经理,admin_manager,市场,T3_domain
P000053,负责海外销售经理,销售经理,sales_manager,营销负责人,marketing_manager,市场VP,marketing_manager,销售,T4_colloquial
P000054,嵌入式硬件工程师,机械工程师,mechanical_engineer,品质经理,supply_chain_manager,资深运营,operations_manager,供应链,T1_raw
P000055,CMO，在字节做推荐,市场经理,marketing_manager,商务主管,sales_manager,总法律顾问,legal_manager,市场,T7_context
P000056,风控法算工程师,算法工程师,algorithm_engineer,Java工程师,software_engineer,采购经理,supply_chain_manager,算法,T6_typo
P000057,搞C&B经理的同事,人力资源经理,hr_manager,公共事务经理,admin_manager,Supply Chain Manager,supply_chain_manager,人力资源,T4_colloquial
P000058,搞嵌入式硬件工程师的,机械工程师,mechanical_engineer,厂长,supply_chain_manager,基金经理,investment_manager,供应链,T4_colloquial
P000059,财务规划经理，在腾讯带 10 人团队,财务经理,finance_manager,高级法务经理,legal_manager,移动端工程师,software_engineer,财务,T7_context
P000060,Lead 法律顾问leader,法务经理,legal_manager,财务副总裁,finance_manager,技术总监,software_engineer,法务,T2_seniority
P000061,高级运营经理，带过 20+ 人团队,运营经理,operations_manager,数据分析经理,data_analyst,测试专员,test_engineer,运营,T7_context
P000062,类似机械总监这种的,机械工程师,mechanical_engineer,配送经理,supply_chain_manager,EA,admin_manager,供应链,T4_colloquial
P000063,da,数据分析师,data_analyst,运营主管,operations_manager,海外市场经理,marketing_manager,数据分析,T5_en_zh_mix
P000064,做Android工程师的,软件工程师,software_engineer,首席架构师,architect,高级市场经理,marketing_manager,开发,T4_colloquial
P000065,硬件技总术监,机械工程师,mechanical_engineer,生产计划经理,supply_chain_manager,固件工程师,software_engineer,供应链,T6_typo
P000066,安全负责人，负责 AI 产品方向,软件工程师,software_engineer,AI架构师,architect,TA经理,hr_manager,开发,T7_context
P000067,搞用户运营经理的,运营经理,operations_manager,数据运营,data_analyst,并购经理,investment_manager,运营,T4_colloquial
P000068,游戏Supply Chain Manager,供应链经理,supply_chain_manager,仿真工程师,mechanical_engineer,总裁,general_manager,供应链,T3_domain
P000069,后勤经理方向,行政经理,admin_manager,组织发展经理,hr_manager,程序员,software_engineer,行政,T4_colloquial
P000070,高级投资经理，负责 AI 产品方向,投资经理,investment_manager,财务经理,finance_manager,海外总经理,general_manager,投资,T7_context
P000071,负责技术项目经理,项目经理,project_manager,AI产品负责人,product_manager,新媒体运营经理,operations_manager,产品,T4_colloquial
P000072,首席质量工程师,测试工程师,test_engineer,基础架构工程师,software_engineer,UX设计师,designer,测试,T2_seniority
P000073,中台产品经理，大厂背景,产品经理,product_manager,PMO负责人,project_manager,BD专员,sales_manager,产品,T7_context
P000074,招一个做CDO的,设计师,designer,嵌入式工程师,software_engineer,CMO,marketing_manager,设计,T4_colloquial
P000075,市场VP岗位,市场经理,marketing_manager,区域负责人,sales_manager,游戏客户端工程师,software_engineer,市场,T4_colloquial
P000076,Junior 投资主管,投资经理,investment_manager,CFO,finance_manager,UI设计师,designer,投资,T2_seniority
P000077,初级QA工程师,测试工程师,test_engineer,服务端开发,software_engineer,UX研究员,designer,测试,T2_seniority
P000078,搞CDO的,数据分析师,data_analyst,社区运营经理,operations_manager,CFO,finance_manager,数据分析,T4_colloquial
P000079,类似IQC经理这种的,供应链经理,supply_chain_manager,机械负责人,mechanical_engineer,后台产品经理,product_manager,供应链,T4_colloquial
P000080,负责S&OP经理,供应链经理,supply_chain_manager,机械工程师,mechanical_engineer,资金经理,finance_manager,供应链,T4_colloquial
P000081,人力总监，年包 60-80w,人力资源经理,hr_manager,前台经理,admin_manager,全国销售负责人,sales_manager,人力资源,T7_context
P000082,并购经理，偏管理岗,投资经理,investment_manager,会计经理,finance_manager,资深机械工程师,mechanical_engineer,投资,T7_context
P000083,Lead 高级销售经理leader,销售经理,sales_manager,品牌经理,marketing_manager,Graphic Designer,designer,销售,T2_seniority
P000084,硬件产品经里,产品经理,product_manager,高级项目经理,project_manager,多媒体开发工程师,software_engineer,产品,T6_typo
P000085,法务主管，之前做过开发,法务经理,legal_manager,成本经理,finance_manager,事业部总经理,general_manager,法务,T7_context
P000086,SRE工程师，年包 60-80w,软件工程师,software_engineer,平台架构师,architect,高级经理,general_manager,开发,T7_context
P000087,做电商运营经理的哥们,运营经理,operations_manager,数据分析师,data_analyst,AI工程师,algorithm_engineer,运营,T4_colloquial
P000088,策略运营负责人，偏管理岗,运营经理,operations_manager,数据分析主管,data_analyst,CPO,product_manager,运营,T7_context
P000089,招聘经里,人力资源经理,hr_manager,后勤主管,admin_manager,GTM经理,marketing_manager,人力资源,T6_typo
P000090,GTM经理方向,市场经理,marketing_manager,BD经理,sales_manager,平面设计师,designer,市场,T4_colloquial
P000091,做管理合伙人的哥们,投资经理,investment_manager,资金负责人,finance_manager,数据分析经理,data_analyst,投资,T4_colloquial
P000092,交付经理，大厂背景,项目经理,project_manager,产品 owner,product_manager,3D设计师,designer,产品,T7_context
P000093,Marketing Manager方向,市场经理,marketing_manager,售前经理,sales_manager,EA,admin_manager,市场,T4_colloquial
P000094,战略采购经理,供应链经理,supply_chain_manager,硬件技术总监,mechanical_engineer,海外营销经理,marketing_manager,供应链,T1_raw
P000095,做商业化产品经理的,产品经理,product_manager,Project Manager,project_manager,程序员,software_engineer,产品,T4_colloquial
P000096,我们公司做高级机械工程师,机械工程师,mechanical_engineer,质量负责人,supply_chain_manager,QA工程师,test_engineer,供应链,T4_colloquial
P000097,Architect方向,架构师,architect,运维工程师,software_engineer,品牌经理,marketing_manager,开发,T4_colloquial
P000098,渠道经理方向,市场经理,marketing_manager,区域销售经理,sales_manager,VP Sales,sales_manager,市场,T4_colloquial
P000099,IP经理，汇报给 CEO,法务经理,legal_manager,FP&A经理,finance_manager,预算经理,finance_manager,法务,T7_context
P000100,数据Supply Chain Manager,供应链经理,supply_chain_manager,机械负责人,mechanical_engineer,人力负责人,hr_manager,供应链,T3_domain
P000101,搞解决方案经理的,销售经理,sales_manager,市场负责人,marketing_manager,法务总监,legal_manager,销售,T4_colloquial
P000102,项目VP，负责 AI 产品方向,项目经理,project_manager,AI产品经理,product_manager,并购经理,investment_manager,产品,T7_context
P000103,职业经理人这块,总经理,general_manager,工程项目经理,project_manager,高级架构师,architect,管理,T4_colloquial
P000104,首席数据官，汇报给 CEO,数据分析师,data_analyst,内容运营负责人,operations_manager,品牌主管,marketing_manager,数据分析,T7_context
P000105,安全测试工程师，负责 AI 产品方向,测试工程师,test_engineer,首席技术官,software_engineer,法务总监,legal_manager,测试,T7_context
P000106,高级供应链经理专家,供应链经理,supply_chain_manager,硬件负责人,mechanical_engineer,新媒体运营经理,operations_manager,供应链,T2_seniority
P000107,我们公司做品牌主管,市场经理,marketing_manager,售前经理,sales_manager,数据运营经理,data_analyst,市场,T4_colloquial
P000108,搞BA的,数据分析师,data_analyst,活动策划,operations_manager,业务助理,general_manager,数据分析,T4_colloquial
P000109,招一个做投资VP的,投资经理,investment_manager,财务分析经理,finance_manager,推荐算法工程师,algorithm_engineer,投资,T4_colloquial
P000110,投后管理负责人这块,投资经理,investment_manager,财务规划经理,finance_manager,测试专员,test_engineer,投资,T4_colloquial
P000111,搞采购经理的,供应链经理,supply_chain_manager,Mechanical Engineer,mechanical_engineer,数据运营经理,data_analyst,供应链,T4_colloquial
P000112,我们公司做知识产权经理,法务经理,legal_manager,财务规划经理,finance_manager,新媒体运营经理,operations_manager,法务,T4_colloquial
P000113,预算经理，IC 路线,财务经理,finance_manager,隐私合规经理,legal_manager,电子工程师,mechanical_engineer,财务,T7_context
P000114,UI设计师,设计师,designer,资深机械工程师,mechanical_engineer,数据运营经理,data_analyst,设计,T1_raw
P000115,Q总A监,测试工程师,test_engineer,后端工程师,software_engineer,GTM经理,marketing_manager,测试,T6_typo
P000116,AI测试主管,测试工程师,test_engineer,Go工程师,software_engineer,副总经理,general_manager,测试,T3_domain
P000117,Lead AI工程师leader,算法工程师,algorithm_engineer,前端开发,software_engineer,质量工程师,test_engineer,算法,T2_seniority
P000118,Principal 人事主管专员,人力资源经理,hr_manager,文秘,admin_manager,部门经理,general_manager,人力资源,T2_seniority
P000119,性能测试工程师,测试工程师,test_engineer,SRE工程师,software_engineer,直播运营经理,operations_manager,测试,T1_raw
P000120,财务VP,财务经理,finance_manager,首席法务官,legal_manager,供应链负责人,supply_chain_manager,财务,T1_raw
P000121,做运营专员的,运营经理,operations_manager,数据分析经理,data_analyst,渠道销售经理,sales_manager,运营,T4_colloquial
P000122,高级高级HR经理,人力资源经理,hr_manager,文秘,admin_manager,财务专员,finance_manager,人力资源,T2_seniority
P000123,招一个做物流主管的,供应链经理,supply_chain_manager,机械主管,mechanical_engineer,公关负责人,marketing_manager,供应链,T4_colloquial
P000124,首席财务官岗位,财务经理,finance_manager,法务总监,legal_manager,测试主管,test_engineer,财务,T4_colloquial
P000125,负责前端负责人,软件工程师,software_engineer,资深架构师,architect,数据产品经理,product_manager,开发,T4_colloquial
P000126,初级PMO助理,项目经理,project_manager,产品经理,product_manager,人力负责人,hr_manager,产品,T2_seniority
P000127,出海机械工程师,机械工程师,mechanical_engineer,厂长,supply_chain_manager,争议解决律师,legal_manager,供应链,T3_domain
P000128,类似区域销售经理这种的,销售经理,sales_manager,市场负责人,marketing_manager,AI架构师,architect,销售,T4_colloquial
P000129,副供应链主管leader,供应链经理,supply_chain_manager,结构工程师,mechanical_engineer,感知算法,algorithm_engineer,供应链,T2_seniority
P000130,副行政经理,行政经理,admin_manager,员工关系经理,hr_manager,销售总监,sales_manager,行政,T2_seniority
P000131,资深测试工程师岗位,测试工程师,test_engineer,中间件工程师,software_engineer,Motion Designer,designer,测试,T4_colloquial
P000132,业务分析师方向,数据分析师,data_analyst,新媒体运营,operations_manager,UI设计师,designer,数据分析,T4_colloquial
P000133,项目主管，跨部门协作多,项目经理,project_manager,资深产品经理,product_manager,投后经理,investment_manager,产品,T7_context
P000134,法经务理,法务经理,legal_manager,首席财务官,finance_manager,物流主管,supply_chain_manager,法务,T6_typo
P000135,数据专员岗位,数据分析师,data_analyst,用户运营负责人,operations_manager,Executive Assistant,admin_manager,数据分析,T4_colloquial
P000136,游戏PM,产品经理,product_manager,TPM,project_manager,投资分析师,investment_manager,产品,T3_domain
P000137,做税务经理的哥们,财务经理,finance_manager,IP经理,legal_manager,ER经理,hr_manager,财务,T4_colloquial
P000138,Unity开发，在腾讯带 10 人团队,软件工程师,software_engineer,Solution Architect,architect,CDO,designer,开发,T7_context
P000139,类似公关经理这种的,市场经理,marketing_manager,大客户负责人,sales_manager,运营主管,operations_manager,市场,T4_colloquial
P000140,研发总监，之前做过开发,软件工程师,software_engineer,架构师,architect,品牌负责人,marketing_manager,开发,T7_context
P000141,做高级经理的哥们,总经理,general_manager,策略产品经理,product_manager,数据产品经理,data_analyst,管理,T4_colloquial
P000142,资深资深数据分析师助理,数据分析师,data_analyst,运营 leader,operations_manager,高级投资经理,investment_manager,数据分析,T2_seniority
P000143,SALES,销售经理,sales_manager,数字营销经理,marketing_manager,测试总监,test_engineer,销售,T5_en_zh_mix
P000144,后勤主管这块,行政经理,admin_manager,招聘总监,hr_manager,OD经理,hr_manager,行政,T4_colloquial
P000145,Lead 全栈工程师,软件工程师,software_engineer,高级架构师,architect,大客户负责人,sales_manager,开发,T2_seniority
P000146,做运营 leader的哥们,运营经理,operations_manager,Data Analyst,data_analyst,市场经理,marketing_manager,运营,T4_colloquial
P000147,投资主管，在腾讯带 10 人团队,投资经理,investment_manager,会计主管,finance_manager,项目专员,project_manager,投资,T7_context
P000148,招一个做战略投资经理的,投资经理,investment_manager,财务主管,finance_manager,测试VP,test_engineer,投资,T4_colloquial
P000149,增长负责人,运营经理,operations_manager,数据分析师,data_analyst,诉讼律师,legal_manager,运营,T1_raw
P000150,中级数据分析主管,数据分析师,data_analyst,运营专员,operations_manager,云架构师,architect,数据分析,T2_seniority
P000151,做电子工程师的,机械工程师,mechanical_engineer,战略采购经理,supply_chain_manager,行政总监,admin_manager,供应链,T4_colloquial
P000152,伙合人,投资经理,investment_manager,审计负责人,finance_manager,行政总监,admin_manager,投资,T6_typo
P000153,副项目助理主管,项目经理,project_manager,产品 lead,product_manager,雇主品牌经理,hr_manager,产品,T2_seniority
P000154,Principal 会计主管主管,财务经理,finance_manager,高级法务经理,legal_manager,执行总监,general_manager,财务,T2_seniority
P000155,招一个做项目VP的,项目经理,project_manager,产品 owner,product_manager,仓储负责人,supply_chain_manager,产品,T4_colloquial
P000156,法务专员，负责 AI 产品方向,法务经理,legal_manager,财务负责人,finance_manager,团队 leader,general_manager,法务,T7_context
P000157,资深设计师,设计师,designer,散热工程师,mechanical_engineer,Business Analyst,data_analyst,设计,T1_raw
P000158,tech lead，汇报给 CEO,软件工程师,software_engineer,平台架构师,architect,感知算法,algorithm_engineer,开发,T7_context
P000159,高级工程师方向,软件工程师,software_engineer,IT架构师,architect,项目负责人,project_manager,开发,T4_colloquial
P000160,招一个做财务负责人的,财务经理,finance_manager,战略投资经理,investment_manager,测试开发工程师,test_engineer,财务,T4_colloquial
P000161,搞项目主管的同事,项目经理,project_manager,产品负责人,product_manager,产品运营经理,operations_manager,产品,T4_colloquial
P000162,资深设计师，之前做过开发,设计师,designer,BI经理,data_analyst,Marketing Head,marketing_manager,设计,T7_context
P000163,初级高级投资经理VP,投资经理,investment_manager,税务负责人,finance_manager,数据合规经理,legal_manager,投资,T2_seniority
P000164,中级高级行政经理,行政经理,admin_manager,人事负责人,hr_manager,首席设计师,designer,行政,T2_seniority
P000165,增长Architect,架构师,architect,全栈工程师,software_engineer,性能测试工程师,test_engineer,开发,T3_domain
P000166,首席测试经理,测试工程师,test_engineer,React Native工程师,software_engineer,市场总监,marketing_manager,测试,T2_seniority
P000167,B端会计经理,财务经理,finance_manager,诉讼律师,legal_manager,数据产品经理,data_analyst,财务,T3_domain
P000168,审计经理，刚毕业 3 年,财务经理,finance_manager,投资分析师,investment_manager,HRVP,hr_manager,财务,T7_context
P000169,project mgr,项目经理,project_manager,产品助理,product_manager,CAO,admin_manager,产品,T5_en_zh_mix
P000170,ML Engineer方向,算法工程师,algorithm_engineer,React Native工程师,software_engineer,直播运营经理,operations_manager,算法,T4_colloquial
P000171,人力总监长,人力资源经理,hr_manager,后勤主管,admin_manager,设计负责人,designer,人力资源,T6_typo
P000172,我们公司做海外市场经理,市场经理,marketing_manager,销售总监,sales_manager,投资经理,investment_manager,市场,T4_colloquial
P000173,投后管理责负人,投资经理,investment_manager,成本经理,finance_manager,数据分析师,data_analyst,投资,T6_typo
P000174,我们公司做M&A经理,投资经理,investment_manager,财务主管,finance_manager,Flutter工程师,software_engineer,投资,T4_colloquial
P000175,财务专员岗位,财务经理,finance_manager,投资助理,investment_manager,UI设计师,designer,财务,T4_colloquial
P000176,游戏HR经理,人力资源经理,hr_manager,行政总监,admin_manager,副总经理,general_manager,人力资源,T3_domain
P000177,隐私合规经理，在阿里做 B 端,法务经理,legal_manager,审计负责人,finance_manager,Cloud Architect,architect,法务,T7_context
P000178,内容运营，大厂背景,运营经理,operations_manager,BI经理,data_analyst,法务VP,legal_manager,运营,T7_context
P000179,负责数据运营,数据分析师,data_analyst,活动运营,operations_manager,全国销售负责人,sales_manager,数据分析,T4_colloquial
P000180,动效设计师这块,设计师,designer,测试工程师,test_engineer,Quality Assurance,test_engineer,设计,T4_colloquial
P000181,研发总监，IC 路线,软件工程师,software_engineer,AI架构师,architect,Design Lead,designer,开发,T7_context
P000182,Web3机械负责人,机械工程师,mechanical_engineer,仓储负责人,supply_chain_manager,销售主管,sales_manager,供应链,T3_domain
P000183,前主台管,行政经理,admin_manager,雇主品牌经理,hr_manager,三维设计师,designer,行政,T6_typo
P000184,投资分析师岗位,投资经理,investment_manager,高级财务经理,finance_manager,CDO,data_analyst,投资,T4_colloquial
P000185,Marketing Manager，带过 20+ 人团队,市场经理,marketing_manager,渠道销售负责人,sales_manager,C&B经理,hr_manager,市场,T7_context
P000186,资深工程师这块,软件工程师,software_engineer,Tech Architect,architect,QA总监,test_engineer,开发,T4_colloquial
P000187,负责中后台负责人,总经理,general_manager,商务主管,sales_manager,全栈工程师,software_engineer,管理,T4_colloquial
P000188,财务分析经理，上一段在美团,财务经理,finance_manager,DPO,legal_manager,市场负责人,marketing_manager,财务,T7_context
P000189,CHRO岗位,人力资源经理,hr_manager,公共事务经理,admin_manager,GM,general_manager,人力资源,T4_colloquial
P000190,数据Marketing Head,市场经理,marketing_manager,客户成功负责人,sales_manager,财务负责人,finance_manager,市场,T3_domain
P000191,搞分公司总经理的同事,总经理,general_manager,Project Manager,project_manager,前台经理,admin_manager,管理,T4_colloquial
P000192,商务经理，跨部门协作多,销售经理,sales_manager,市场专员,marketing_manager,SRE工程师,software_engineer,销售,T7_context
P000193,Junior 销售专员leader,销售经理,sales_manager,营销负责人,marketing_manager,招聘负责人,hr_manager,销售,T2_seniority
P000194,结构工程师方向,机械工程师,mechanical_engineer,采购专员,supply_chain_manager,高管助理,admin_manager,供应链,T4_colloquial
P000195,投资主管，大厂背景,投资经理,investment_manager,财务专员,finance_manager,数据治理经理,data_analyst,投资,T7_context
P000196,Chief rAchitect,架构师,architect,DevOps工程师,software_engineer,高级数据分析师,data_analyst,开发,T6_typo
P000197,固件工程师，刚毕业 3 年,软件工程师,software_engineer,架构负责人,architect,商业智能分析师,data_analyst,开发,T7_context
P000198,中级资深项目经理,项目经理,project_manager,B端产品经理,product_manager,生成式AI工程师,algorithm_engineer,产品,T2_seniority
P000199,Principal 投资专员VP,投资经理,investment_manager,税务负责人,finance_manager,审计负责人,finance_manager,投资,T2_seniority
P000200,Lead 办公室主任主管,行政经理,admin_manager,雇主品牌经理,hr_manager,运营 head,operations_manager,行政,T2_seniority
P000201,GTM经理这块,市场经理,marketing_manager,渠道销售负责人,sales_manager,合规负责人,legal_manager,市场,T4_colloquial
P000202,渠道销售负责人，IC 路线,销售经理,sales_manager,营销经理,marketing_manager,品牌总监,marketing_manager,销售,T7_context
P000203,投资分析师，汇报给 CEO,投资经理,investment_manager,财务主管,finance_manager,测试VP,test_engineer,投资,T7_context
P000204,资深算法程工师,算法工程师,algorithm_engineer,基础架构工程师,software_engineer,Solution Architect,architect,算法,T6_typo
P000205,前台主管岗位,行政经理,admin_manager,HRVP,hr_manager,BI经理,data_analyst,行政,T4_colloquial
P000206,光学工程师，年包 60-80w,机械工程师,mechanical_engineer,供应链专员,supply_chain_manager,首席运营官,operations_manager,供应链,T7_context
P000207,法务专员岗位,法务经理,legal_manager,资金经理,finance_manager,人力经理,hr_manager,法务,T4_colloquial
P000208,绩效负责人，大厂背景,人力资源经理,hr_manager,政府关系经理,admin_manager,大客户负责人,sales_manager,人力资源,T7_context
P000209,行政经理，带过 20+ 人团队,行政经理,admin_manager,人力VP,hr_manager,C&B经理,hr_manager,行政,T7_context
P000210,质量总监，偏管理岗,测试工程师,test_engineer,Java工程师,software_engineer,数据分析师,data_analyst,测试,T7_context
P000211,初级业务总监专家,总经理,general_manager,投资负责人,investment_manager,BA,data_analyst,管理,T2_seniority
P000212,客户成功负责人，之前做过开发,销售经理,sales_manager,品牌负责人,marketing_manager,财务主管,finance_manager,销售,T7_context
P000213,金融运营专员,运营经理,operations_manager,数据VP,data_analyst,数据治理经理,data_analyst,运营,T3_domain
P000214,做HR经理的哥们,人力资源经理,hr_manager,后勤经理,admin_manager,中后台负责人,general_manager,人力资源,T4_colloquial
P000215,审计经理岗位,财务经理,finance_manager,投资负责人,investment_manager,GR经理,admin_manager,财务,T4_colloquial
P000216,全国售销负责人,销售经理,sales_manager,营销负责人,marketing_manager,采购负责人,supply_chain_manager,销售,T6_typo
P000217,产负品责人,产品经理,product_manager,Technical Program Manager,project_manager,基金经理,investment_manager,产品,T6_typo
P000218,业务分析师，负责 AI 产品方向,数据分析师,data_analyst,资深运营,operations_manager,品牌经理,marketing_manager,数据分析,T7_context
P000219,电商投资经理,投资经理,investment_manager,内审经理,finance_manager,市场主管,marketing_manager,投资,T3_domain
P000220,战投经理，偏管理岗,投资经理,investment_manager,高级财务经理,finance_manager,产品负责人,product_manager,投资,T7_context
P000221,全国销售负责人方向,销售经理,sales_manager,品牌主管,marketing_manager,IP经理,legal_manager,销售,T4_colloquial
P000222,商务拓展理经,销售经理,sales_manager,海外市场经理,marketing_manager,机器学习工程师,algorithm_engineer,销售,T6_typo
P000223,交互设计师，负责 AI 产品方向,设计师,designer,高级测试工程师,test_engineer,数字营销经理,marketing_manager,设计,T7_context
P000224,数据分析负责人岗位,数据分析师,data_analyst,运营VP,operations_manager,渠道销售经理,sales_manager,数据分析,T4_colloquial
P000225,software engineer 方向,软件工程师,software_engineer,解决方案架构师,architect,产品经理,product_manager,开发,T5_en_zh_mix
P000226,增长财务经理,财务经理,finance_manager,基金经理,investment_manager,海外总经理,general_manager,财务,T3_domain
P000227,投资VP，负责 AI 产品方向,投资经理,investment_manager,审计经理,finance_manager,争议解决律师,legal_manager,投资,T7_context
P000228,负责SRE工程师,软件工程师,software_engineer,架构负责人,architect,仿真工程师,mechanical_engineer,开发,T4_colloquial
P000229,品牌设计师，之前做过开发,设计师,designer,程序员,software_engineer,招聘经理,hr_manager,设计,T7_context
P000230,搞数据主管的同事,数据分析师,data_analyst,内容运营,operations_manager,Executive Assistant,admin_manager,数据分析,T4_colloquial
